;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
209;England;England Premiere League;2022/01/22;Southampton;Man City;1;1;D;10;6,5;1,25;1,44;2,75
213;England;England Premiere League;2022/01/23;Chelsea;Tottenham;2;0;H;1,61;4,2;5;1,94;1,96
212;England;England Premiere League;2022/01/23;Leicester;Brighton;1;1;D;2,5;3,25;2,9;1,98;1,92
211;England;England Premiere League;2022/01/23;Crystal Palace;Liverpool;1;3;A;6;4,2;1,53;1,72;2,1
210;England;England Premiere League;2022/01/23;Arsenal;Burnley;0;0;D;1,36;4,75;9;1,8;2
188;England;England Premiere League;2022/02/01;Leeds;Burnley;3;1;H;2,05;3,5;3,5;1,72;2,1
186;England;England Premiere League;2022/02/01;Brentford;Aston Villa;2;1;H;3;3,3;2,4;2;1,8
187;England;England Premiere League;2022/02/01;Everton;Brighton;2;3;A;2,75;3,2;2,62;2,2;1,66
189;England;England Premiere League;2022/02/01;Chelsea;Liverpool;2;2;D;3,1;3,5;2,25;1,83;2,07
291;England;England Premiere League;2022/02/04;Chelsea;Brentford;1;4;A;1,33;5;10;1,91;1,99
290;England;England Premiere League;2022/02/04;Burnley;Man City;0;2;A;15;6,5;1,2;1,57;2,37
293;England;England Premiere League;2022/02/04;Wolves;Aston Villa;2;1;H;3;3,1;2,55;2,37;1,57
292;England;England Premiere League;2022/02/04;Leeds;Southampton;1;1;D;2,37;3,75;2,75;1,61;2,3
288;England;England Premiere League;2022/02/04;Liverpool;Watford;2;0;H;1,12;9,5;17;1,36;3,2
294;England;England Premiere League;2022/02/04;Man United;Leicester;1;1;D;1,5;4,5;6;1,57;2,37
289;England;England Premiere League;2022/02/04;Brighton;Norwich;0;0;D;1,5;4;7;2;1,8
341;England;England Premiere League;2022/02/05;Man United;Brentford;3;0;H;1,72;4;4,5;1,72;2,1
74;England;England Premiere League;2022/02/10;Man City;Man United;6;3;H;1,33;5,75;7,5;1,44;2,75
75;England;England Premiere League;2022/02/10;Leeds;Aston Villa;0;0;D;2,35;3,4;3;1,8;2
231;England;England Premiere League;2022/02/13;Tottenham;Wolves;0;2;A;1,7;3,6;5,5;2,2;1,66
232;England;England Premiere League;2022/02/13;Leicester;West Ham;2;2;D;2,9;3,5;2,3;1,66;2,2
230;England;England Premiere League;2022/02/13;Newcastle;Aston Villa;1;0;H;2,7;3,3;2,62;1,85;2,05
229;England;England Premiere League;2022/02/13;Burnley;Liverpool;0;1;A;10;5,25;1,28;1,57;2,37
233;England;England Premiere League;2022/02/15;Man United;Brighton;2;0;H;1,72;3,75;4,75;1,92;1,98
234;England;England Premiere League;2022/02/19;West Ham;Newcastle;1;1;D;1,7;4;4,75;1,8;2
235;England;England Premiere League;2022/02/19;Arsenal;Brentford;2;1;H;1,44;4,2;8;1,97;1,93
236;England;England Premiere League;2022/02/19;Aston Villa;Watford;0;1;A;1,65;3,6;5,75;2,01;1,89
238;England;England Premiere League;2022/02/19;Crystal Palace;Chelsea;0;1;A;5,5;3,8;1,65;2,05;1,85
239;England;England Premiere League;2022/02/19;Liverpool;Norwich;3;1;H;1,1;9;23;1,36;3,2
240;England;England Premiere League;2022/02/19;Southampton;Everton;2;0;H;2,1;3,5;3,5;1,72;2,1
241;England;England Premiere League;2022/02/19;Man City;Tottenham;2;3;A;1,28;6;10;1,57;2,37
237;England;England Premiere League;2022/02/19;Brighton;Burnley;0;3;A;1,66;3,5;6;2,2;1,66
242;England;England Premiere League;2022/02/20;Leeds;Man United;2;4;A;3,9;3,8;1,85;1,61;2,3
243;England;England Premiere League;2022/02/20;Wolves;Leicester;2;1;H;2,25;3,3;3,25;2,1;1,72
246;England;England Premiere League;2022/02/23;Liverpool;Leeds;6;0;H;1,16;8;15;1,28;3,75
244;England;England Premiere League;2022/02/23;Burnley;Tottenham;1;0;H;4,6;3,8;1,75;2,1;1,72
